央视,#genre#
CCTV5+,http://211.158.155.158:8009/udp/225.0.4.73:7980
CCTV6,http://211.158.155.158:8009/udp/225.0.4.144:7980
CCTV7,http://211.158.155.158:8009/udp/225.0.4.127:7980
CCTV8,http://211.158.155.158:8009/udp/225.0.4.137:7980
CCTV9,http://211.158.155.158:8009/udp/225.0.4.131:7980
CCTV10,http://211.158.155.158:8009/udp/225.0.4.130:7980
CCTV11,http://211.158.155.158:8009/udp/225.0.4.218:7980
CCTV12,http://211.158.155.158:8009/udp/225.0.4.129:7980
CCTV13,http://211.158.155.158:8009/udp/225.0.4.219:7980
CCTV14,http://211.158.155.158:8009/udp/225.0.4.128:7980
CCTV15,http://211.158.155.158:8009/udp/225.0.4.220:7980
CCTV17,http://211.158.155.158:8009/udp/225.0.4.179:7980
CCTV1,http://125.80.158.131:7788/rtp/235.254.198.51:1480
CCTV2,http://125.80.158.131:7788/rtp/235.254.198.52:1484
CCTV3,http://125.80.158.131:7788/rtp/235.254.198.53:1488
CCTV4,http://125.80.158.131:7788/rtp/235.254.198.183:7980
CCTV5,http://125.80.158.131:7788/rtp/235.254.198.54:1492
CCTV5+,http://125.80.158.131:7788/rtp/235.254.198.122:1764
CCTV6,http://125.80.158.131:7788/rtp/235.254.198.55:1496
CCTV7,http://125.80.158.131:7788/rtp/235.254.198.56:1500
CCTV8,http://125.80.158.131:7788/rtp/235.254.198.57:1504
CCTV9,http://125.80.158.131:7788/rtp/235.254.198.58:1508
CCTV10,http://125.80.158.131:7788/rtp/235.254.198.59:1512
CCTV11,http://125.80.158.131:7788/rtp/235.254.198.7:1304
CCTV12,http://125.80.158.131:7788/rtp/235.254.198.60:1516
CCTV13,http://125.80.158.131:7788/rtp/235.254.198.9:1312
CCTV15,http://125.80.158.131:7788/rtp/235.254.198.11:1320
CCTV少儿,http://125.80.158.131:7788/rtp/235.254.198.61:1520
CCTV1,http://125.80.158.131:7788/rtp/235.254.198.1:1280
CCTV2,http://125.80.158.131:7788/rtp/235.254.198.2:1284
CCTV3,http://125.80.158.131:7788/rtp/235.254.198.141:1842
CCTV4,http://125.80.158.131:7788/rtp/235.254.198.3:1288
CCTV5,http://125.80.158.131:7788/rtp/235.254.198.142:1846
CCTV6,http://125.80.158.131:7788/rtp/235.254.198.143:1852
CCTV7,http://125.80.158.131:7788/rtp/235.254.198.4:1292
CCTV8,http://125.80.158.131:7788/rtp/235.254.198.144:1856
CCTV9,http://125.80.158.131:7788/rtp/235.254.198.5:1296
CCTV10,http://125.80.158.131:7788/rtp/235.254.198.6:1300
CCTV12,http://125.80.158.131:7788/rtp/235.254.198.8:1308
CCTV少儿,http://125.80.158.131:7788/rtp/235.254.198.10:1316
CCTV1,http://171.221.58.164:4000/udp/239.93.0.184:5140
CCTV2,http://171.221.58.164:4000/udp/239.93.1.23:6000
CCTV3,http://171.221.58.164:4000/udp/239.93.1.11:2223
CCTV4,http://171.221.58.164:4000/udp/239.93.1.105:5140
CCTV5,http://171.221.58.164:4000/udp/239.93.42.37:5140
CCTV6,http://171.221.58.164:4000/udp/239.93.1.13:2226
CCTV7,http://171.221.58.164:4000/udp/239.93.1.67:5140
CCTV8,http://171.221.58.164:4000/udp/239.93.42.39:5140
CCTV9,http://171.221.58.164:4000/udp/239.93.1.24:5140
CCTV10,http://171.221.58.164:4000/udp/239.93.1.28:5140
CCTV11,http://171.221.58.164:4000/udp/239.93.0.102:5140
CCTV12,http://171.221.58.164:4000/udp/239.93.1.30:8124
CCTV13,http://171.221.58.164:4000/udp/239.93.0.66:5140
CCTV少儿,http://171.221.58.164:4000/udp/239.93.1.29:6000
CCTV15,http://171.221.58.164:4000/udp/239.93.0.103:5140
CCTV17,http://171.221.58.164:4000/udp/239.93.0.92:5140
CCTV5,http://171.221.58.164:4000/udp/239.93.1.36:8004
CETV1,http://171.221.58.164:4000/udp/239.93.1.111:5140
CETV2,http://171.221.58.164:4000/udp/239.93.0.113:5140
CETV4,http://171.221.58.164:4000/udp/239.93.0.50:5140
CCTV1,http://171.221.58.164:4000/udp/239.93.0.148:5140
CCTV2,http://171.221.58.164:4000/udp/239.93.0.149:5140
CCTV3,http://171.221.58.164:4000/udp/239.93.0.150:5140
CCTV4,http://171.221.58.164:4000/udp/239.93.0.212:5140
CCTV5,http://171.221.58.164:4000/udp/239.93.0.158:5140
CCTV6,http://171.221.58.164:4000/udp/239.93.0.64:5140
CCTV7,http://171.221.58.164:4000/udp/239.93.0.79:5140
CCTV8,http://171.221.58.164:4000/udp/239.93.0.154:5140
CCTV9,http://171.221.58.164:4000/udp/239.93.1.64:5140
CCTV10,http://171.221.58.164:4000/udp/239.93.1.63:5140
CCTV11,http://171.221.58.164:4000/udp/239.93.0.170:5140
CCTV12,http://171.221.58.164:4000/udp/239.93.1.41:5140
CCTV新闻,http://171.221.58.164:4000/udp/239.93.0.187:5140
CCTV少儿画中,http://171.221.58.164:4000/udp/239.93.1.40:5140
CCTV音乐,http://171.221.58.164:4000/udp/239.93.0.171:5140
CCTV1,http://171.221.58.164:4000/udp/239.93.1.68:5140
CCTV1,http://171.221.58.164:4000/udp/239.93.1.87:5140
CCTV5,http://171.221.58.164:4000/udp/239.93.1.79:5140
CCTV2,http://171.221.58.164:4000/udp/239.93.1.69:5140
CCTV7,http://171.221.58.164:4000/udp/239.93.1.73:5140
CCTV8,http://171.221.58.164:4000/udp/239.93.1.74:5140
CCTV3,http://171.221.58.164:4000/udp/239.93.1.70:5140
CCTV5,http://171.221.58.164:4000/udp/239.93.1.71:5140
CCTV6,http://171.221.58.164:4000/udp/239.93.1.72:5140
CCTV9,http://171.221.58.164:4000/udp/239.93.1.75:5140
CCTV1,http://117.69.50.154:8888/rtp/238.1.78.166:7200
CCTV2,http://117.69.50.154:8888/rtp/238.1.78.235:7752
CCTV3,http://117.69.50.154:8888/rtp/238.1.78.170:7232
CCTV4,http://117.69.50.154:8888/rtp/238.1.78.236:7760
CCTV5,http://117.69.50.154:8888/rtp/238.1.78.171:7240
CCTV5+,http://117.69.50.154:8888/rtp/238.1.78.237:7768
CCTV6,http://117.69.50.154:8888/rtp/238.1.78.172:7248
CCTV7,http://117.69.50.154:8888/rtp/238.1.78.239:7784
CCTV8,http://117.69.50.154:8888/rtp/238.1.78.173:7256
CCTV9,http://117.69.50.154:8888/rtp/238.1.78.240:7792
CCTV10,http://117.69.50.154:8888/rtp/238.1.78.241:7800
CCTV11,http://117.69.50.154:8888/rtp/238.1.78.206:7502
CCTV12,http://117.69.50.154:8888/rtp/238.1.78.242:7808
CCTV13,http://117.69.50.154:8888/rtp/238.1.79.35:4392
CCTV14,http://117.69.50.154:8888/rtp/238.1.78.243:7816
CCTV15,http://117.69.50.154:8888/rtp/238.1.78.222:7648
CCTV17,http://117.69.50.154:8888/rtp/238.1.78.178:7296
CCTV电视指南,http://117.69.50.154:8888/rtp/238.1.79.53:4560
CCTV央视文化精品,http://117.69.50.154:8888/rtp/238.1.79.54:4568
CCTV女性时尚,http://117.69.50.154:8888/rtp/238.1.79.55:4576
CCTV兵器科技,http://117.69.50.154:8888/rtp/238.1.79.56:4584
CCTV风云足球,http://117.69.50.154:8888/rtp/238.1.79.57:4592
CCTV世界地理,http://117.69.50.154:8888/rtp/238.1.79.60:4616
CCTV怀旧剧场,http://117.69.50.154:8888/rtp/238.1.79.61:4624
CCTV风云剧场,http://117.69.50.154:8888/rtp/238.1.79.62:4632
CCTV第一剧场,http://117.69.50.154:8888/rtp/238.1.79.63:4640
CCTV风云音乐,http://117.69.50.154:8888/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://117.69.50.154:8888/rtp/238.1.79.58:4600
CCTV央视台球,http://117.69.50.154:8888/rtp/238.1.79.59:4608
中国教育CETV,http://117.69.50.154:8888/rtp/238.1.78.158:7136
中国教育CETV,http://117.69.50.154:8888/rtp/238.1.78.106:6720
空中课堂CETV,http://117.69.50.154:8888/rtp/238.1.78.107:6728
CCTV1,http://59.173.132.230:8880/rtp/239.254.96.96:8550
CCTV2,http://59.173.132.230:8880/rtp/239.69.1.102:10250
CCTV3,http://59.173.132.230:8880/rtp/239.69.1.122:10370
CCTV4,http://59.173.132.230:8880/rtp/239.69.1.138:10466
CCTV5,http://59.173.132.230:8880/rtp/239.69.1.123:10376
CCTV5+,http://59.173.132.230:8880/rtp/239.254.96.234:9484
CCTV6,http://59.173.132.230:8880/rtp/239.69.1.124:10382
CCTV7,http://59.173.132.230:8880/rtp/239.69.1.103:10256
CCTV8,http://59.173.132.230:8880/rtp/239.69.1.125:10388
CCTV9,http://59.173.132.230:8880/rtp/239.69.1.104:10262
CCTV10,http://59.173.132.230:8880/rtp/239.69.1.105:10268
CCTV11,http://59.173.132.230:8880/rtp/239.69.1.154:10560
CCTV12,http://59.173.132.230:8880/rtp/239.69.1.106:10274
CCTV13,http://59.173.132.230:8880/rtp/239.254.96.161:9040
CCTV14,http://59.173.132.230:8880/rtp/239.69.1.107:10280
CCTV15,http://59.173.132.230:8880/rtp/239.69.1.155:10566
CCTV16,http://59.173.132.230:8880/rtp/239.69.1.247:11124
CCTV17,http://59.173.132.230:8880/rtp/239.69.1.152:10548
CCTV第一剧场,http://59.173.132.230:8880/rtp/239.69.1.74:10084
CCTV兵器科技,http://59.173.132.230:8880/rtp/239.69.1.79:10114
CCTV风云足球,http://59.173.132.230:8880/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://59.173.132.230:8880/rtp/239.69.1.83:10138
CCTV世界地理,http://59.173.132.230:8880/rtp/239.69.1.91:10186
CCTV央视台球,http://59.173.132.230:8880/rtp/239.69.1.98:10224
CCTV16,http://59.173.132.230:8880/rtp/239.69.1.249:11136
CETV1,http://59.173.132.230:8880/rtp/239.69.1.110:10298
CCTV5+,http://59.173.132.230:8880/rtp/239.69.1.12:9712
CCTV16,http://59.173.132.230:8880/rtp/239.69.1.13:9718
卫视,#genre#
河南卫视,http://171.11.172.73:808/hls/31/index.m3u8
浙江卫视,http://171.11.172.73:808/hls/61/index.m3u8
东方卫视,http://171.11.172.73:808/hls/62/index.m3u8
江苏卫视,http://171.11.172.73:808/hls/63/index.m3u8
北京卫视,http://171.11.172.73:808/hls/64/index.m3u8
广东卫视,http://171.11.172.73:808/hls/65/index.m3u8
黑龙江卫视,http://171.11.172.73:808/hls/66/index.m3u8
山东卫视,http://171.11.172.73:808/hls/67/index.m3u8
安徽卫视,http://171.11.172.73:808/hls/68/index.m3u8
辽宁卫视,http://171.11.172.73:808/hls/69/index.m3u8
陕西卫视,http://171.11.172.73:808/hls/70/index.m3u8
贵州卫视,http://171.11.172.73:808/hls/71/index.m3u8
河北卫视,http://171.11.172.73:808/hls/72/index.m3u8
江西卫视,http://171.11.172.73:808/hls/73/index.m3u8
湖南卫视,http://171.11.172.73:808/hls/74/index.m3u8
深圳卫视,http://171.11.172.73:808/hls/75/index.m3u8
四川卫视,http://171.11.172.73:808/hls/76/index.m3u8
湖北卫视,http://171.11.172.73:808/hls/77/index.m3u8
天津卫视,http://171.11.172.73:808/hls/78/index.m3u8
云南卫视,http://171.11.172.73:808/hls/79/index.m3u8
重庆卫视,http://171.11.172.73:808/hls/80/index.m3u8
吉林卫视,http://171.11.172.73:808/hls/81/index.m3u8
东南卫视,http://171.11.172.73:808/hls/83/index.m3u8
广西卫视,http://171.11.172.73:808/hls/85/index.m3u8
海南卫视,http://171.11.172.73:808/hls/88/index.m3u8
甘肃卫视,http://171.11.172.73:808/hls/89/index.m3u8
青海卫视,http://171.11.172.73:808/hls/90/index.m3u8
浙江卫视,http://59.55.35.32:20000/hls/16/index.m3u8
甘肃卫视,http://59.55.35.32:20000/hls/36/index.m3u8
兵团卫视,http://59.55.35.32:20000/hls/63/index.m3u8
新疆卫视,http://59.55.35.32:20000/hls/67/index.m3u8
湖北卫视,http://110.7.130.123:8096/tsfile/live/0132_1.m3u8
贵州卫视,http://110.7.130.123:8096/tsfile/live/0120_1.m3u8
辽宁卫视,http://110.7.130.123:8096/tsfile/live/0121_1.m3u8
北京卫视,http://110.7.130.123:8096/tsfile/live/0122_1.m3u8
河南卫视,http://123.163.55.234:9901/tsfile/live/0139_1.m3u8
北京卫视,http://123.163.55.234:9901/tsfile/live/0122_1.m3u8
上海卫视,http://123.163.55.234:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://123.163.55.234:9901/tsfile/live/0128_1.m3u8
四川卫视,http://123.163.55.234:9901/tsfile/live/0123_1.m3u8
江苏卫视,http://123.163.55.234:9901/tsfile/live/0127_1.m3u8
深圳卫视,http://123.163.55.234:9901/tsfile/live/0126_1.m3u8
东南卫视,http://123.163.55.234:9901/tsfile/live/0137_1.m3u8
辽宁卫视,http://123.163.55.234:9901/tsfile/live/0121_1.m3u8
广东卫视,http://123.163.55.234:9901/tsfile/live/0125_1.m3u8
安徽卫视,http://123.163.55.234:9901/tsfile/live/0130_1.m3u8
天津卫视,http://123.163.55.234:9901/tsfile/live/0135_1.m3u8
